File	Sorted	Length	CER	CER(sorted)	1-cos	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10
00439416.xml	true	2023	0.158	0.158	0.039	0.077	0.166	0.257	0.329	0.39	0.444	0.491	0.534	0.574	0.611
00439135.xml	true	2036	0.192	0.192	0.056	0.108	0.208	0.304	0.383	0.453	0.515	0.571	0.624	0.672	0.712
00439074.xml	true	2077	0.129	0.129	0.032	0.077	0.143	0.211	0.278	0.334	0.385	0.434	0.479	0.522	0.563
00439119.xml	true	2018	0.181	0.181	0.044	0.088	0.175	0.269	0.343	0.406	0.464	0.512	0.554	0.59	0.622
00439148.xml	true	2036	0.16	0.16	0.045	0.083	0.175	0.266	0.335	0.392	0.441	0.486	0.527	0.563	0.596
00439069.xml	true	2057	0.153	0.153	0.041	0.085	0.18	0.268	0.341	0.405	0.463	0.513	0.558	0.602	0.641
00439349.xml	true	1995	0.149	0.149	0.035	0.079	0.15	0.234	0.31	0.375	0.434	0.485	0.53	0.571	0.609
00439379.xml	true	2039	0.164	0.164	0.048	0.092	0.186	0.27	0.346	0.411	0.469	0.522	0.569	0.611	0.65
00439110.xml	true	2020	0.136	0.136	0.04	0.075	0.149	0.223	0.289	0.348	0.397	0.445	0.488	0.528	0.564
00439291.xml	true	1943	0.17	0.17	0.043	0.095	0.167	0.257	0.338	0.411	0.471	0.524	0.572	0.618	0.656
00439213.xml	true	2000	0.363	0.363	0.109	0.183	0.339	0.473	0.568	0.64	0.698	0.743	0.78	0.81	0.837
00439059.xml	true	2078	0.181	0.181	0.044	0.098	0.198	0.297	0.378	0.448	0.505	0.553	0.598	0.639	0.674
00439068.xml	true	2067	0.121	0.121	0.033	0.071	0.142	0.207	0.268	0.321	0.371	0.418	0.462	0.5	0.536
00439259.xml	true	1958	0.177	0.177	0.051	0.103	0.203	0.297	0.377	0.442	0.499	0.551	0.6	0.645	0.686
00439307.xml	true	1939	0.14	0.14	0.033	0.073	0.147	0.222	0.285	0.339	0.387	0.433	0.478	0.52	0.559
00439356.xml	true	1971	0.247	0.247	0.069	0.139	0.267	0.397	0.493	0.57	0.634	0.686	0.729	0.764	0.796
00439124.xml	true	2029	0.158	0.158	0.043	0.085	0.163	0.248	0.321	0.386	0.439	0.489	0.533	0.574	0.609
00439407.xml	true	2064	0.16	0.16	0.046	0.084	0.177	0.273	0.35	0.416	0.475	0.526	0.574	0.616	0.652
00439084.xml	true	2047	0.171	0.171	0.041	0.094	0.186	0.288	0.369	0.439	0.497	0.55	0.597	0.638	0.676
00439038.xml	true	2047	0.135	0.135	0.041	0.08	0.16	0.233	0.296	0.354	0.408	0.457	0.502	0.542	0.579
00439408.xml	true	1999	0.158	0.158	0.04	0.087	0.174	0.261	0.333	0.396	0.451	0.498	0.541	0.583	0.62
00439302.xml	true	1868	0.135	0.135	0.041	0.077	0.153	0.226	0.289	0.346	0.399	0.447	0.491	0.531	0.569
00439132.xml	true	2032	0.314	0.314	0.046	0.093	0.195	0.299	0.384	0.452	0.51	0.56	0.605	0.644	0.681
00439274.xml	true	2007	0.23	0.23	0.057	0.113	0.247	0.376	0.473	0.55	0.612	0.664	0.711	0.75	0.785
00439288.xml	true	1994	0.151	0.151	0.039	0.088	0.161	0.241	0.319	0.381	0.436	0.486	0.531	0.573	0.608
00439032.xml	false	552	0.62	0.415	0.167	0.192	0.342	0.483	0.573	0.642	0.693	0.734	0.77	0.801	0.828
00439205.xml	true	2001	0.148	0.148	0.043	0.084	0.17	0.261	0.343	0.412	0.474	0.528	0.575	0.617	0.656
00439200.xml	true	1992	0.229	0.229	0.046	0.102	0.22	0.337	0.422	0.495	0.559	0.614	0.664	0.709	0.748
00439176.xml	true	1986	0.218	0.218	0.036	0.087	0.168	0.252	0.328	0.391	0.448	0.499	0.545	0.587	0.625
00439411.xml	false	1771	0.185	0.185	0.047	0.091	0.197	0.305	0.389	0.457	0.517	0.569	0.615	0.656	0.691
00439400.xml	true	2104	0.141	0.141	0.035	0.07	0.162	0.242	0.309	0.369	0.423	0.473	0.517	0.557	0.595
00439357.xml	true	2057	0.144	0.144	0.041	0.08	0.168	0.249	0.322	0.385	0.441	0.492	0.536	0.577	0.614
00439393.xml	true	2047	0.165	0.165	0.046	0.083	0.188	0.289	0.373	0.441	0.497	0.548	0.597	0.641	0.681
00439382.xml	true	2045	0.145	0.145	0.037	0.083	0.164	0.244	0.312	0.371	0.425	0.476	0.52	0.56	0.594
00439159.xml	true	1657	0.328	0.328	0.04	0.151	0.215	0.285	0.352	0.411	0.461	0.507	0.549	0.59	0.629
00439383.xml	true	1697	0.148	0.148	0.045	0.091	0.171	0.249	0.324	0.39	0.45	0.503	0.55	0.591	0.631
00439238.xml	true	2017	0.212	0.212	0.049	0.105	0.211	0.316	0.406	0.48	0.542	0.598	0.646	0.687	0.724
00439369.xml	true	1579	0.213	0.213	0.056	0.101	0.216	0.322	0.41	0.477	0.531	0.578	0.622	0.661	0.696
00439144.xml	true	2075	0.169	0.169	0.048	0.089	0.177	0.27	0.349	0.416	0.474	0.524	0.569	0.609	0.645
00439097.xml	true	2064	0.138	0.138	0.043	0.076	0.162	0.239	0.305	0.365	0.415	0.46	0.503	0.543	0.578
00439337.xml	true	2028	0.184	0.184	0.046	0.087	0.194	0.315	0.41	0.478	0.537	0.589	0.635	0.677	0.714
00439331.xml	true	2036	0.163	0.163	0.047	0.091	0.181	0.265	0.341	0.405	0.463	0.515	0.56	0.602	0.639
00439037.xml	true	2066	0.143	0.143	0.046	0.081	0.167	0.251	0.329	0.394	0.452	0.506	0.554	0.598	0.638
00439275.xml	false	1632	0.213	0.216	0.045	0.1	0.198	0.301	0.38	0.447	0.505	0.558	0.604	0.644	0.679
