File	Sorted	Length	CER	CER(sorted)	1-cos	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10
00439303.xml	true	1648	0.155	0.155	0.051	0.09	0.171	0.249	0.317	0.373	0.425	0.473	0.517	0.561	0.598
00439322.xml	true	2039	0.174	0.174	0.048	0.084	0.185	0.281	0.362	0.432	0.494	0.543	0.586	0.628	0.664
00439172.xml	true	1975	0.472	0.472	0.116	0.234	0.446	0.595	0.684	0.748	0.795	0.834	0.867	0.893	0.914
00439115.xml	true	2066	0.171	0.171	0.044	0.092	0.182	0.267	0.341	0.404	0.461	0.511	0.555	0.595	0.634
00439051.xml	true	2089	0.228	0.228	0.052	0.101	0.191	0.28	0.358	0.421	0.479	0.533	0.581	0.624	0.663
00439224.xml	true	2016	0.197	0.197	0.04	0.073	0.159	0.247	0.323	0.387	0.444	0.493	0.537	0.578	0.615
00439052.xml	true	2065	0.132	0.132	0.049	0.084	0.165	0.237	0.308	0.37	0.428	0.481	0.531	0.576	0.617
00439367.xml	true	1996	0.165	0.165	0.051	0.098	0.201	0.3	0.384	0.456	0.52	0.576	0.628	0.673	0.714
00439260.xml	true	1979	0.166	0.166	0.045	0.087	0.179	0.276	0.36	0.43	0.491	0.547	0.598	0.643	0.683
00439146.xml	true	2036	0.191	0.191	0.066	0.112	0.206	0.312	0.399	0.469	0.531	0.584	0.63	0.67	0.707
00439019.xml	false	370	0.446	0.319	0.171	0.144	0.29	0.385	0.445	0.503	0.551	0.591	0.629	0.659	0.689
00439243.xml	true	2049	0.184	0.184	0.036	0.089	0.173	0.271	0.354	0.424	0.487	0.54	0.587	0.63	0.669
00439264.xml	true	2014	0.205	0.205	0.059	0.109	0.226	0.345	0.437	0.516	0.579	0.635	0.682	0.723	0.76
00439324.xml	false	1613	0.228	0.228	0.057	0.11	0.228	0.333	0.414	0.477	0.534	0.582	0.624	0.662	0.693
00439336.xml	true	2011	0.208	0.208	0.039	0.082	0.166	0.252	0.32	0.381	0.437	0.488	0.533	0.575	0.613
00439020.xml	false	1315	0.217	0.217	0.059	0.107	0.216	0.326	0.408	0.475	0.529	0.58	0.623	0.663	0.701
00439387.xml	true	2043	0.143	0.143	0.042	0.084	0.163	0.245	0.315	0.371	0.424	0.475	0.519	0.559	0.597
00439223.xml	true	1943	0.156	0.156	0.046	0.088	0.174	0.265	0.341	0.404	0.457	0.504	0.547	0.587	0.624
00439380.xml	true	2031	0.117	0.117	0.042	0.075	0.149	0.215	0.275	0.331	0.383	0.43	0.474	0.512	0.548
00439181.xml	false	1966	0.203	0.203	0.048	0.104	0.19	0.285	0.367	0.433	0.491	0.543	0.591	0.634	0.674
00439023.xml	false	1145	0.493	0.508	0.136	0.215	0.405	0.578	0.685	0.755	0.805	0.844	0.869	0.892	0.911
00439245.xml	true	1849	0.13	0.13	0.035	0.068	0.151	0.226	0.293	0.353	0.408	0.459	0.505	0.547	0.586
00439199.xml	true	1958	0.159	0.159	0.034	0.082	0.165	0.255	0.33	0.395	0.451	0.503	0.548	0.59	0.629
00439306.xml	true	1986	0.148	0.148	0.041	0.083	0.157	0.227	0.294	0.348	0.399	0.444	0.485	0.523	0.559
00439255.xml	true	1957	0.173	0.173	0.05	0.096	0.178	0.259	0.331	0.389	0.441	0.488	0.531	0.57	0.606
00439058.xml	true	2084	0.127	0.127	0.038	0.077	0.15	0.219	0.282	0.337	0.39	0.439	0.483	0.523	0.561
00439277.xml	true	1792	0.31	0.31	0.066	0.135	0.293	0.423	0.516	0.586	0.642	0.687	0.727	0.76	0.79
00439315.xml	true	2019	0.2	0.2	0.062	0.114	0.227	0.334	0.424	0.502	0.567	0.624	0.672	0.714	0.753
00439086.xml	true	2088	0.142	0.142	0.044	0.084	0.17	0.254	0.321	0.384	0.441	0.493	0.54	0.583	0.623
00439139.xml	true	2039	0.155	0.155	0.042	0.093	0.173	0.26	0.339	0.4	0.451	0.499	0.542	0.581	0.618
00439054.xml	true	1975	0.157	0.157	0.039	0.085	0.173	0.259	0.331	0.396	0.452	0.501	0.547	0.589	0.628
00439071.xml	true	2098	0.153	0.153	0.044	0.084	0.183	0.274	0.35	0.413	0.47	0.524	0.572	0.615	0.653
00439096.xml	true	2057	0.15	0.15	0.043	0.081	0.16	0.234	0.295	0.351	0.404	0.453	0.498	0.541	0.58
00439228.xml	true	1972	0.161	0.161	0.056	0.098	0.19	0.284	0.359	0.425	0.482	0.533	0.579	0.619	0.656
00439423.xml	true	2067	0.188	0.188	0.052	0.101	0.212	0.313	0.395	0.462	0.514	0.56	0.601	0.639	0.674
00439087.xml	true	2099	0.177	0.177	0.047	0.088	0.197	0.296	0.376	0.444	0.501	0.555	0.602	0.644	0.683
00439154.xml	true	1963	0.127	0.127	0.032	0.07	0.143	0.209	0.272	0.326	0.376	0.424	0.468	0.51	0.547
00439201.xml	true	1978	0.376	0.376	0.044	0.091	0.189	0.295	0.379	0.449	0.511	0.565	0.612	0.653	0.691
00439209.xml	false	1581	0.192	0.192	0.053	0.102	0.199	0.302	0.382	0.446	0.503	0.553	0.6	0.641	0.678
00439127.xml	true	1971	0.147	0.147	0.038	0.081	0.16	0.239	0.309	0.369	0.423	0.472	0.516	0.559	0.599
00439063.xml	true	2079	0.117	0.117	0.031	0.068	0.142	0.21	0.266	0.317	0.364	0.41	0.453	0.494	0.533
00439284.xml	false	1567	0.23	0.23	0.053	0.093	0.223	0.342	0.438	0.517	0.58	0.635	0.679	0.716	0.75
00439035.xml	true	2011	0.274	0.274	0.055	0.11	0.272	0.415	0.519	0.592	0.651	0.704	0.747	0.783	0.814
00439415.xml	true	2080	0.138	0.138	0.044	0.076	0.158	0.237	0.305	0.367	0.424	0.476	0.523	0.566	0.606
00439251.xml	true	1962	0.201	0.201	0.065	0.109	0.201	0.309	0.396	0.467	0.531	0.588	0.636	0.677	0.716
00439377.xml	true	2023	0.157	0.157	0.042	0.085	0.186	0.274	0.352	0.416	0.474	0.528	0.576	0.618	0.658
00439425.xml	false	639	0.329	0.329	0.143	0.165	0.314	0.43	0.517	0.588	0.65	0.698	0.738	0.773	0.804
00439404.xml	true	2037	0.207	0.207	0.059	0.114	0.231	0.346	0.442	0.518	0.58	0.637	0.684	0.726	0.763
00439072.xml	true	2083	0.144	0.144	0.043	0.089	0.17	0.255	0.324	0.386	0.439	0.488	0.534	0.576	0.614
00439333.xml	true	2034	0.228	0.228	0.047	0.093	0.206	0.332	0.431	0.51	0.572	0.627	0.671	0.711	0.742
00439294.xml	true	1988	0.165	0.165	0.047	0.092	0.18	0.264	0.342	0.409	0.47	0.526	0.576	0.619	0.656
00439427.xml	false	1315	0.894	0.375	0.084	0.158	0.297	0.45	0.549	0.624	0.679	0.729	0.77	0.806	0.836
00439057.xml	true	2046	0.132	0.132	0.036	0.076	0.141	0.208	0.267	0.321	0.372	0.42	0.466	0.508	0.549
00439374.xml	true	2015	0.206	0.206	0.055	0.105	0.223	0.341	0.429	0.504	0.564	0.616	0.663	0.705	0.745
00439229.xml	true	2002	0.166	0.166	0.066	0.101	0.199	0.293	0.379	0.453	0.517	0.574	0.623	0.665	0.704
00439208.xml	true	1973	0.181	0.181	0.035	0.081	0.176	0.276	0.353	0.417	0.475	0.526	0.571	0.612	0.649
00439326.xml	true	1950	0.157	0.157	0.039	0.083	0.17	0.252	0.324	0.386	0.439	0.486	0.53	0.572	0.608
00439055.xml	true	2027	0.134	0.134	0.038	0.073	0.154	0.227	0.292	0.35	0.405	0.456	0.504	0.55	0.593
00439398.xml	true	2040	0.149	0.149	0.042	0.084	0.161	0.239	0.304	0.362	0.416	0.463	0.505	0.544	0.578
00439392.xml	true	2017	0.13	0.13	0.034	0.071	0.144	0.215	0.277	0.333	0.385	0.431	0.475	0.514	0.552
00439060.xml	true	2032	0.12	0.12	0.035	0.065	0.143	0.211	0.276	0.337	0.392	0.443	0.489	0.528	0.565
00439220.xml	true	1958	0.29	0.29	0.078	0.152	0.295	0.433	0.533	0.612	0.671	0.722	0.767	0.806	0.836
00439142.xml	true	2058	0.16	0.16	0.053	0.096	0.184	0.275	0.354	0.422	0.484	0.539	0.589	0.635	0.675
00439410.xml	true	2083	0.153	0.153	0.042	0.08	0.177	0.265	0.336	0.401	0.461	0.511	0.556	0.598	0.634
00439157.xml	true	2014	0.164	0.164	0.04	0.086	0.178	0.269	0.341	0.407	0.464	0.515	0.562	0.603	0.641
00439164.xml	true	2006	0.126	0.126	0.035	0.071	0.144	0.217	0.28	0.334	0.384	0.431	0.475	0.517	0.557
00439323.xml	true	1684	0.25	0.25	0.078	0.126	0.283	0.411	0.519	0.594	0.661	0.717	0.763	0.8	0.832
00439151.xml	true	2066	0.122	0.122	0.028	0.065	0.139	0.2	0.256	0.306	0.354	0.403	0.446	0.488	0.526
00439266.xml	true	361	0.936	0.936	0.188	0.208	0.331	0.434	0.509	0.562	0.608	0.651	0.685	0.716	0.742
00439414.xml	true	2080	0.152	0.152	0.041	0.08	0.17	0.254	0.326	0.39	0.445	0.495	0.541	0.584	0.621
